index,code,country_code,total_pop,destination,destination_code,origin,origin_code,total_mig,life,gni,major1,major1_perc,major2,major2_perc,remit
6603,404,KEN,56432944,Kenya,404,World,900,992536,63.646,5608.296066,Christians,0.85656836461126,,,
122,104,MMR,54500091,World,900,Myanmar,104,4320462,66.889,4918.810577,Buddhists,0.890418709920785,,,1150000000
12323,104,MMR,54500091,Myanmar,104,World,900,79052,66.889,4918.810577,Buddhists,0.890418709920785,,,1150000000
242,170,COL,52886363,World,900,Colombia,170,3652238,77.725,18665.94967,Christians,0.862532095595497,,,11873232976
24889,170,COL,52886363,Colombia,170,World,900,3063518,77.725,18665.94967,Christians,0.862532095595497,,,11873232976
105,410,KOR,51751065,World,900,Republic of Korea,410,2030473,84.329,49726.45327,Unaffiliated,0.48264558426533,Christians,0.319899730042422,7449400000
11371,410,KOR,51751065,Republic of Korea,410,World,900,1811507,84.329,49726.45327,Unaffiliated,0.48264558426533,Christians,0.319899730042422,7449400000
63,729,SDN,50448963,World,900,Sudan,729,3786603,66.331,2810.312012,Muslims,0.988459072451379,,,
8185,729,SDN,50448963,Sudan,729,World,900,2397113,66.331,2810.312012,Muslims,0.988459072451379,,,
44,800,UGA,50015092,World,900,Uganda,800,578034,68.252,2736.410021,Christians,0.877417903733693,,,
6998,800,UGA,50015092,Uganda,800,World,900,2057759,68.252,2736.410021,Christians,0.877417903733693,,,
189,724,ESP,48848840,World,900,Spain,724,1623550,83.67,46008.44221,Christians,0.694630872483222,Unaffiliated,0.263632550335571,6328874671
19594,724,ESP,48848840,Spain,724,World,900,8870527,83.67,46008.44221,Christians,0.694630872483222,Unaffiliated,0.263632550335571,6328874671
59,12,DZA,46814308,World,900,Algeria,12,1780399,76.261,15114.17175,Muslims,0.983878292461399,,,1798916386
7836,12,DZA,46814308,Algeria,12,World,900,259458,76.261,15114.17175,Muslims,0.983878292461399,,,1798916386
134,368,IRQ,46042015,World,900,Iraq,368,2313028,72.324,12653.52469,Muslims,0.995014245014245,,,696300000
13156,368,IRQ,46042015,Iraq,368,World,900,370980,72.324,12653.52469,Muslims,0.995014245014245,,,
238,32,ARG,45696159,World,900,Argentina,32,1183381,77.395,25876.05307,Christians,0.884487718521797,,,1044365105
24241,32,ARG,45696159,Argentina,32,World,900,1958039,77.395,25876.05307,Christians,0.884487718521797,,,1044365105
107,4,AFG,42647492,World,900,Afghanistan,4,7528994,66.035,1971.549458,Muslims,0.998720245712823,,,320000000
11538,4,AFG,42647492,Afghanistan,4,World,900,98110,66.035,1971.549458,Muslims,0.998720245712823,,,320000000
254,124,CAN,41288599,World,900,Canada,124,1347381,82.63,54688.41729,Christians,0.53314121037464,Unaffiliated,0.346345297353943,851437898
25829,124,CAN,41288599,Canada,124,World,900,8805839,82.63,54688.41729,Christians,0.53314121037464,Unaffiliated,0.346345297353943,851437898
146,887,YEM,40583164,World,900,Yemen,887,2480734,69.295,1018.20058,Muslims,0.998892886797675,,,
13809,887,YEM,40583164,Yemen,887,World,900,392997,69.295,1018.20058,Muslims,0.998892886797675,,,
62,504,MAR,38081173,World,900,Morocco,504,3627829,75.313,8652.880859,Muslims,0.996992892290869,,,
8138,504,MAR,38081173,Morocco,504,World,900,111069,75.313,8652.880859,Muslims,0.996992892290869,,,
49,24,AGO,37885849,World,900,Angola,24,616967,64.617,6631.276544,Christians,0.93034379671151,,,51039356
7300,24,AGO,37885849,Angola,24,World,900,676507,64.617,6631.276544,Christians,0.93034379671151,,,51039356
158,804,UKR,37860221,World,900,Ukraine,804,9769216,73.422,16933.14453,Christians,0.834377797672337,,,
15599,804,UKR,37860221,Ukraine,804,World,900,5064173,73.422,16933.14453,Christians,0.834377797672337,,,
153,616,POL,36559233,World,900,Poland,616,4572613,78.633,42217.63778,Christians,0.911972753471313,,,
15063,616,POL,36559233,Poland,616,World,900,1739901,78.633,42217.63778,Christians,0.911972753471313,,,
96,860,UZB,36361859,World,900,Uzbekistan,860,2114480,72.388,8825.730893,Muslims,0.956236975290265,,,
10671,860,UZB,36361859,Uzbekistan,860,World,900,1154963,72.388,8825.730893,Muslims,0.956236975290265,,,
121,458,MYS,35557673,World,900,Malaysia,458,2433875,76.657,32553.09108,Muslims,0.641192092062555,Buddhists,0.188846267335497,1605279752
12262,458,MYS,35557673,Malaysia,458,World,900,3806514,76.657,32553.09108,Muslims,0.641192092062555,Buddhists,0.188846267335497,1605279752
141,682,SAU,35300280,World,900,Saudi Arabia,682,236699,78.732,50298.91363,Muslims,0.927073249435302,,,
13555,682,SAU,35300280,Saudi Arabia,682,World,900,13683841,78.732,50298.91363,Muslims,0.927073249435302,,,
38,508,MOZ,34631766,World,900,Mozambique,508,702796,63.611,1355.767076,Christians,0.613385315139701,Muslims,0.194282001299545,266914841
6784,508,MOZ,34631766,Mozambique,508,World,900,353143,63.611,1355.767076,Christians,0.613385315139701,Muslims,0.194282001299545,266914841
78,288,GHA,34427414,World,900,Ghana,288,1055494,65.498,6846.352204,Christians,0.712762621511446,,,3027416789
9328,288,GHA,34427414,Ghana,288,World,900,532286,65.498,6846.352204,Christians,0.712762621511446,,,3027416789
248,604,PER,34217848,World,900,Peru,604,1672482,77.74,14338.70977,Christians,0.944884287454324,,,
25245,604,PER,34217848,Peru,604,World,900,1837219,77.74,14338.70977,Christians,0.944884287454324,,,
34,450,MDG,31964956,World,900,Madagascar,450,212455,63.632,1655.764683,Christians,0.742314335060449,,,
6637,450,MDG,31964956,Madagascar,450,World,900,38625,63.632,1655.764683,Christians,0.742314335060449,,,
76,384,CIV,31934230,World,900,C“te d'Ivoire,384,1211422,61.944,6735.416265,Muslims,0.463001383125865,Christians,0.449170124481328,1090000000
9281,384,CIV,31934230,C“te d'Ivoire,384,World,900,2880839,61.944,6735.416265,Muslims,0.463001383125865,Christians,0.449170124481328,1090000000
113,524,NPL,29651054,World,900,Nepal,524,2637195,70.354,4725.930613,Hindus,0.811874352778737,,,
11829,524,NPL,29651054,Nepal,524,World,900,470719,70.354,4725.930613,Hindus,0.811874352778737,,,
50,120,CMR,29123744,World,900,Cameroon,120,409677,63.7,4746.26582,Christians,0.69820679130103,Muslims,0.251430751621519,630000000
7339,120,CMR,29123744,Cameroon,120,World,900,642948,63.7,4746.26582,Christians,0.69820679130103,Muslims,0.251430751621519,630000000
251,862,VEN,28405543,World,900,Venezuela (Bolivarian Republic of),862,8328514,72.514,7157.08,Christians,0.881153305203938,,,
25406,862,VEN,28405543,Venezuela (Bolivarian Republic of),862,World,900,1263304,72.514,7157.08,Christians,0.881153305203938,,,
260,36,AUS,27196812,World,900,Australia,36,430718,83.923,58276.87643,Christians,0.467754467754468,Unaffiliated,0.423465423465424,1893434964
26672,36,AUS,27196812,Australia,36,World,900,8111404,83.923,58276.87643,Christians,0.467754467754468,Unaffiliated,0.423465423465424,1893434964
84,562,NER,27032412,World,900,Niger,562,439378,61.183,1590.18796,Muslims,0.981028667790894,,,
9873,562,NER,27032412,Niger,562,World,900,449236,61.183,1590.18796,Muslims,0.981028667790894,,,
102,408,PRK,26498823,World,900,Dem. People's Republic of Korea,408,46379,73.642,,Unaffiliated,0.728385615914308,,,
11146,408,PRK,26498823,Dem. People's Republic of Korea,408,World,900,50439,73.642,,Unaffiliated,0.728385615914308,,,
143,760,SYR,24672760,World,900,Syrian Arab Republic,760,8927523,72.12,3917.702385,Muslims,0.941567695961995,,,
13634,760,SYR,24672760,Syrian Arab Republic,760,World,900,896042,72.12,3917.702385,Muslims,0.941567695961995,,,
82,466,MLI,24478595,World,900,Mali,466,1292519,60.439,2341.588118,Muslims,0.941501612160295,,,
9698,466,MLI,24478595,Mali,466,World,900,545323,60.439,2341.588118,Muslims,0.941501612160295,,,
74,854,BFA,23548781,World,900,Burkina Faso,854,2050050,61.092,2390.527778,Muslims,0.674115456238361,Christians,0.279795158286778,590000000
